notice,name,inst_type,entity,permco,dt_start,dt_end,PERMNO,date,TICKER,COMNAM
,"HAWTHORN BANCSHARES, INC",Bank Holding Company,2038409,37716,20000630,20210930,88341,2022-12-30,HWBK,HAWTHORN BANCSHARES INC
,PACWEST BANCORP,Bank Holding Company,2875332,37718,20000630,20210930,88343,2022-12-30,PACW,PACWEST BANCORP DE
,"UNITED SECURITY BANCSHARES, INC.",Bank Holding Company,1086168,37750,20000630,20210930,88384,2022-12-30,FUSB,FIRST U S BANCSHARES INC
,PEAPACK-GLADSTONE FINANCIAL CORPORATION,Bank Holding Company,2651590,41007,20001130,20210930,88820,2022-12-30,PGC,PEAPACK GLADSTONE FINANCIAL CORP
,HANMI FINANCIAL CORPORATION,Bank Holding Company,2900261,41159,20010131,20210930,88865,2022-12-30,HAFC,HANMI FINANCIAL CORP
,"FIRST COMMUNITY BANCSHARES, INC.",Bank Holding Company,1478017,41388,20010330,20210930,88944,2022-12-30,FCBC,FIRST COMMUNITY BANCSHARES INC
,FIRST CITIZENS BANC CORP,Bank Holding Company,1246533,41460,20010430,20210930,88965,2022-12-30,CIVB,CIVISTA BANCSHARES INC
,"SHORE BANCSHARES, INC.",Bank Holding Company,2429838,41464,20010430,20210930,88970,2022-12-30,SHBI,SHORE BANCSHARES INC
,UNITED SECURITY BANCSHARES,Bank Holding Company,3015975,41564,20010612,20210930,88984,2022-12-30,UBFO,UNITED SECURITY BANKSHARES
,GLEN BURNIE BANCORP,Bank Holding Company,2001328,41698,20010629,20210930,89022,2022-12-30,GLBZ,GLEN BURNIE BANCORP
,"EVANS BANCORP, INC.",Bank Holding Company,1401190,41815,20010731,20210930,89038,2022-12-30,EVBN,EVANS BANCORP INC
,"PENNS WOODS BANCORP, INC.",Bank Holding Company,1117688,42396,20011130,20210930,89211,2022-12-30,PWOD,PENNS WOODS BANCORP INC
,"UNION BANKSHARES, INC.",Bank Holding Company,1114940,42549,20000731,20210930,89279,2022-12-30,UNB,UNION BANKSHARES INC
,"UNITED COMMUNITY BANKS, INC.",Bank Holding Company,1249347,42912,20020328,20210930,89323,2022-12-30,UCBI,UNITED COMMUNITY BANKS INC GA
