notice,name,inst_type,entity,permco,dt_start,dt_end
"The PERMCOs displayed herein are used with the permission of the Center for Research in Security Prices (CRSP®), Graduate School of Business, The University of Chicago. PERMCO® is a registered trademark of The University of Chicago.",,,,,,
"The University of Chicago and CRSP make no warranty of any kind, express or implied, with respect to the validity, merchantability, fitness, condition, use or appropriateness of the PERMCOs or the links to the PERMCOs displayed herein.",,,,,,
,FIRST CHESTER COUNTY CORPORATION,Bank Holding Company,1118425,53249,20091023,20101210
,EMCLAIRE FINANCIAL CORP,Bank holding company,1480944,53285,20091130,20210930
,ATHENS BANCSHARES CORP,,807272,53328,20100128,20151231
,ATHENS BANCSHARES CORP,Bank Holding Company,4101437,53328,20100129,20151231
,"OMNIAMERICAN BANCORP, INC.",Thrift holding company,4131751,53333,20100129,20141217
,"FIRST INTERSTATE BANCSYSTEM, INC.",Bank Holding Company,1123670,53368,20100331,20210930
,EAGLE BANCORP MONTANA INC,Thrift holding company,4126609,53402,20100430,20210930
,FIRST AMERICAN FINANCIAL CORPORATION,Thrift holding company,1250101,53407,20100630,20210930
,"PEOPLES FEDERAL BANCSHARES, INC.",Thrift holding company,4183536,53475,20100730,20150220
,PARK STERLING CORPORATION,Bank Holding Company,4210478,53496,20110101,20171130
,STANDARD FINANCIAL CORPORATION,Bank Holding Company,4183442,53545,20101029,20130930
,FIRST REPUBLIC BANK,Commercial Bank,4114567,53609,20101231,20210930
,ACNB CORPORATION,Bank Holding Company,1117464,53624,20101231,20210930
,HOME FEDERAL BANCORP INC LA,Thrift holding company,4253121,53628,20101231,20210930
,"ANCHOR BANCORP, INC.",Bank Holding Company,3843712,53636,20110131,20181115
,"BANKUNITED, INC.",Bank holding company,4028712,53647,20110131,20210930
,ALLY FINANCIAL INC,Bank Holding Company,1562859,53687,20140430,20210930
,FRANKLIN FINANCIAL CORPORATION,Thrift holding company,3832604,53722,20110429,20150102
,STATE BANK FINANCIAL CORPORATION,Bank Holding Company,4036324,53729,20110429,20181231
,"FIRST CONNECTICUT BANCORP, INC.",Bank Holding Company,3407598,53820,20110630,20180930
,IF BANCORP INC,Thrift holding company,4299316,53847,20110729,20210930
,"PALMETTO BANCSHARES, INC.",Bank holding company,1075984,53872,20110831,20150831
,FARMERS NATIONAL BANC CORP.,Bank Holding Company,1071191,53882,20110930,20210930
,LCNB CORP.,Bank Holding Company,2759900,53883,20110930,20210930
,"POAGE BANKSHARES, INC.",Thrift Holding Company,4303969,53886,20110913,20181207
,"ASB BANCORP, INC.",Bank holding company,4281441,53897,20111031,20170929
,BSB BANCORP INC.,Bank holding company,3929791,53898,20111031,20190329
,BANK OF THE JAMES FINANCIAL,Bank Holding Company,3217032,53976,20120131,20210930
,"WELLESLEY BANCORP, INC.",Bank Holding Company,4325121,53979,20120131,20200529
,"HOMESTREET, INC.",Thrift holding company,3843507,54001,20120229,20210930
,NATIONSTAR MORTGAGE,Domestic Entity Other,3935523,54012,20120318,20180731
,EVERBANK FINANCIAL CORP,Thrift holding company,3838857,54068,20120531,20170630
,"GEORGETOWN BANCORP, INC.",Thrift Holding Company,3919756,54148,20120711,20170523
,HOWARD BANCORP INC,Bank holding company,3386910,54149,20120731,20210930
,"HOMETRUST BANCSHARES, INC.",Thrift,4366003,54151,20120731,20210930
,"SOUND FINANCIAL BANCORP, INC.",Bank Holding Company,3843646,54169,20121228,20210930
,NATIONAL BANK HOLDINGS CORPORATION,Bank holding company,3973888,54180,20120928,20210930
,CAPITAL BANK FINANCIAL CORP.,Bank holding company,4160939,54191,20120928,20171130
,CU BANCORP/CA,Bank Holding Company,4392132,54221,20121031,20171020
,HAMILTON BANCORP INC/MD,Commercial Bank,365576,54223,20121031,20190430
,"MADISON COUNTY FINANCIAL, INC.",Thrift,4441414,54229,20121004,20151030
,MADISON COUNTY FINANCIAL INC,,385471,54229,20121031,20151030
,CHEMUNG FINANCIAL CORP,Bank Holding Company,1133594,54270,20121130,20210930
,"POLONIA BANCORP, INC.",Thrift Holding Company,3845592,54272,20121113,20151231
,WASHINGTONFIRST BANKSHARES,Bank Holding Company,3922466,54285,20121231,20171229
,INTERMOUNTAIN COMMUNITY BANCORP,Bank Holding Company,2634490,54308,20130131,20141031
,"CONNECTONE BANCORP, INC",Bank Holding Company,3778542,54329,20130228,20140630
,FIRST INTERNET BANCORP,Bank Holding Company,3393178,54332,20130228,20210930
,INDEPENDENT BK GRP INC,Bank Holding Company,3140288,54377,20130430,20210930
